team_name,phase,count,success_rate,percent_of_total,count_percentile,success_rate_percentile,percent_of_total_percentile
Houston Dynamo,corner_second_phase,96,0.3854166666666667,0.009162053827066235,0.9333333333333333,0.9,1.0
Houston Dynamo,counterattack,39,0.41025641025641024,0.0037220843672456576,0.3,0.5666666666666667,0.36666666666666664
Houston Dynamo,finishing,504,0.3416149068322981,0.04810078259209773,0.2,0.2,0.23333333333333334
Houston Dynamo,high_transition,289,0.3262411347517731,0.02758159954189731,0.23333333333333334,0.16666666666666666,0.36666666666666664
Houston Dynamo,kickoff,111,0.5818181818181818,0.010593624737545333,0.4166666666666667,0.8,0.6333333333333333
Houston Dynamo,long_goalkick,78,0.47435897435897434,0.007444168734491315,0.35,0.8333333333333334,0.4
Houston Dynamo,penalty,4,0.0,0.0003817522427944264,0.29310344827586204,0.5172413793103449,0.3448275862068966
Houston Dynamo,possession_freekick,372,0.6759776536312849,0.03550295857988166,0.9333333333333333,0.8666666666666667,1.0
Houston Dynamo,possession_throw_in,410,0.4621212121212121,0.03912960488642871,0.5166666666666667,0.2,0.6666666666666666
Houston Dynamo,progression,1790,0.44537815126050423,0.17083412865050582,0.3333333333333333,0.4666666666666667,0.5666666666666667
Houston Dynamo,securing_possession,809,0.5138705416116248,0.07720939110517275,0.1,0.1,0.1
Houston Dynamo,short_goalkick,154,0.6381578947368421,0.014697461347585417,0.4,0.95,0.6
Inter Miami,accelerated_possession,367,0.3492957746478873,0.035241021701555596,0.2,0.23333333333333334,0.4666666666666667
Inter Miami,attacking_freekick,127,0.816,0.012195121951219513,0.3333333333333333,0.4666666666666667,0.4
Inter Miami,attacking_freekick_second_phase,34,0.29411764705882354,0.0032648357979642786,0.35,0.7,0.5333333333333333
Inter Miami,attacking_throw_in,113,0.7321428571428571,0.010850777799116574,0.16666666666666666,0.8,0.23333333333333334
Inter Miami,buildup,1215,0.5904159132007233,0.11666986748607644,0.1,0.26666666666666666,0.36666666666666664
Inter Miami,corner,139,0.2463768115942029,0.013347416938736317,0.16666666666666666,0.8333333333333334,0.26666666666666666
Inter Miami,corner_second_phase,49,0.20408163265306123,0.0047052045323602845,0.06666666666666667,0.06666666666666667,0.03333333333333333
Inter Miami,counterattack,37,0.4594594594594595,0.0035529095448434797,0.18333333333333332,0.8,0.3333333333333333
